Node,country,site
Col_11,Colombia,Antioquia
Col_13,Colombia,Antioquia
Col_6,Colombia,Antioquia
Col_8,Colombia,Antioquia
SRR1562518,Colombia,Tierralta
SRR1562524,Colombia,Buenaventura (Valle del Cauca)
SRR1562555,Colombia,Tierralta
SRR1562818,Colombia,Tierralta
SRR1562870,Colombia,Tierralta
SRR1562965,Colombia,Tierralta
SRR1562967,Colombia,Tumaco
SRR1562971,Colombia,Tierralta
SRR1562975,Colombia,Tierralta
SRR1564650,Colombia,Tierralta
SRR1564660,Colombia,Tierralta
SRR1564664,Colombia,Qibdo (Choco)
SRR1564665,Colombia,Tierralta
SRR1564670,Colombia,Tumaco
SRR1568112,Colombia,Tierralta
SRR1568118,Colombia,Tierralta
SRR1568128,Colombia,Qibdo (Choco)
SRR1568155,Colombia,Tierralta
SRR1568159,Colombia,Tierralta
SRR1568160,Colombia,Tierralta
SRR1568169,Colombia,Tierralta
SRR1568171,Colombia,Tierralta
SRR1568207,Colombia,Tierralta
SRR1568213,Colombia,Tierralta
SRR1568221,Colombia,Buenaventura (Valle del Cauca)
SRR1568227,Colombia,Tierralta
SRR1568230,Colombia,Tierralta
SRR1568235,Colombia,Qibdo (Choco)
SRR1568236,Colombia,Tumaco
SRR1573226,Colombia,Buenaventura (Valle del Cauca)
ERR2299557,Colombia,Santa Cecilia
ERR2299558,Colombia,Santa Cecilia
ERR2299582,Colombia,Santa Cecilia
ERR2299586,Colombia,Choco
ERR2299596,Colombia,Choco
ERR2309899,Colombia,Cali
ERR2299666,Colombia,Tierralta
ERR2299667,Colombia,Tierralta
ERR2299668,Colombia,Tierralta
ERR2299669,Colombia,Tierralta
ERR2299670,Colombia,Tierralta
ERR2299699,Colombia,Tierralta
ERR2299672,Colombia,Tierralta
ERR2299673,Colombia,Tierralta
ERR2299674,Colombia,Tierralta
ERR2299675,Colombia,Tierralta
ERR2299704,Colombia,Tierralta
ERR2299679,Colombia,Tierralta
ERR2299680,Colombia,Tierralta
ERR2299681,Colombia,Tierralta
ERR2299682,Colombia,Tierralta
ERR2299683,Colombia,Tierralta
ERR2299684,Colombia,Tierralta
ERR2299685,Colombia,Cordoba